type,title,count(job.title)
Harescramble,"Facility Cleanup",1
Harescramble,"Monday Cleanup Crew",5
Harescramble,"50cc Track - Sunday 9-3",1
Harescramble,Signup/Tower,1
Harescramble,"Race Director",1
Harescramble,"Start Gate Stager (Check transponders) (7:30am - 3pm)",1
Harescramble,"Head Scoring",1
Harescramble,"Course Marshall/Sweeper All day",4
Harescramble,Scoring,3
Harescramble,"Office Help (6:45am - ?)",4
Harescramble,"Sign up/Tower Help (7am-4:30pm)",1
Harescramble,"Office Help (8am - 4pm)",1
Harescramble,"Saturday Night Gate 5pm-10pm",1
Harescramble,"Sunday Front Gate 6:45a - 3p",2
Harescramble,"Sunday Front Gate 9a - 12a",1
Harescramble,"Sunday Front Gate 7:30a - 10:30a",1
Harescramble,"Sunday Front Gate 12-3",2
Harescramble,"Course Marshall/Sweeper - Morning (7:30am - 12pm)",2
Harescramble,"Course Marshall/Sweeper  - Morning (7:30am - 12pm)",3
Harescramble,"Course Marshall/Sweeper - Afternoon (11:30am - 5pm)",4
Race,"Practice Flagger 6 - Double Double",1
Race,"Flagger - Extra 15",1
Race,"Sign-Up/Tower Help",4
Race,"Flagger 3  -  Hill Top (Post Walker's)",1
Race,"ESMX Racing Ref",1
Race,"Practice Flagger 7 - Corner Table",1
Race,"Thursday Night Watering",6
Race,"Dist sign-up/Scoring",1
Race,"Flagger 4 - Hartman's Hill",1
Race,"Sat. Front gate 3-7 ",1
Race,"Practice Flagger 8 - 10000 Gallon",1
Race,"Start Gate/Gate help",1
Race,"Flagger 5 - Leap",1
Race,"Sat. Front gate 7-11 ",1
Race,"Practice Flagger 9 - Cavity In",1
Race,"Head Starter",3
Race,"Flagger 6 - Double Double",1
Race,"District Signup Saturday",1
Race,"Practice Flagger 10 - Cavity Out",1
Race,"Finish Line Flagger",5
Race,"Flagger 7 - Corner Table",1
Race,"Saturday Signup 5p-7p",2
Race,"Practice Flagger 11 - Uphill Double",1
Race,"Mini Track Scoring",3
Race,"Flagger 8 - 10000 Gallon",1
Race,"Saturday Night Watering",18
Race,"Practice Flagger 12 - Pre-Finish Jump",1
Race,"Mini Track Head Guy/Starter ",1
Race,"Flagger 10 - Cavity Out",1
Race,"Friday Night Watering",13
Race,"Public relations",3
Race,"Mini Track -Finish Line flagger/start gate",1
Race,"Flagger 12 - Pre-Finish Jump",1
Race,"Rock Picking",6
Race,"Flagger 9 - Cavity In",1
Race,"Mini Track Flagger ",3
Race,"Flagger 13 - Finish Line",1
Race,"Front Gate 6:45am - 3pm",1
Race,"Saturday - Relief Flagger/Floater",2
Race,"Front Gate 8-12",1
Race,"Track Maintenance/Relief Flagger (roll up hose)",5
Race,"Friday Front gate 5-11",1
Race,"Start Gate/District Sign Up",1
Race,"Sign Up/Tower Help",1
Race,President,2
Race,"Front/Back Gate 6:45am - 10am (scorer  - this job first)",2
Race,"Track Maintenance/Relief Flagger (MAIN) (roll up hose)",1
Race,"Practice Flagger 1 - Fly Off",1
Race,"Front Gate 8-3",1
Race,"Vice President",3
Race,"Front/Back Gate 9-1",1
Race,"Facility Clean up (garbage, signs, banners, road signs)",4
Race,"Practice Flagger 2 - Step Up",1
Race,"Practice Flagger 13 - Finish Line",1
Race,Secretary,3
Race,"Front Gate 12-3",1
Race,"PeeWee Track Maintenance",1
Race,"Practice Flagger 3 - Hill Top (post Walker's)",1
Race,"Flagger 14- Extra",1
Race,Treasurer,3
Race,"Head Flagger",1
Race,"Bathroom Maintenance ",1
Race,"Practice Flagger 4 - Hartman's Hill",1
Race,"Flagger 15 - Extra",1
Race,"Scoring (front gate help first)",2
Race,"Flagger 1 - Flyoff",1
Race,Ambulance,3
Race,"Practice Flagger 5 - Leap",1
Race,"Flagger - Extra 14",1
Race,"Head Scorer/District Sign up",1
Race,"Flagger 2 - Step Up",1
Race,Announcer,2
"Race week",NULL,0
"Ride Day","Flagger - Flyoff",1
"Ride Day","Tuesday Night Watering",7
"Ride Day","Wednesday Morning Watering",6
"Ride Day","Sign Up: 1pm - 7:30pm",2
"Ride Day",EMT,1
"Ride Day","Front Gate 12-6",2
"XO Race",EMS,1
"XO Race","Pit Marshall",1
"XO Race","Saturday Front Gate (2-5)",1
"XO Race","Scorer (front gate till 8:15)",2
"XO Race","Saturday Front Gate (5-10)",1
"XO Race","Scorer (office till 8:15)",1
"XO Race","Sign up (all day)",2
"XO Race","Starter/Finish Flagger",1
"XO Race","Sweeper/Marshall (morning)",4
"XO Race",Flagger,28
"XO Race","Relief Flagger",2
"XO Race","Front Gate Sunday Morning (7-2)",1
"XO Race","Front Gate Sunday Morning (8:15-3)",1
"XO Race","Pee Wee Scoring",2
"XO Race","Pee wee Finish Line flagger/start gate",1
"XO Race","Sign up/Main Scorer (all day)",1
"XO Race","Sweeper/Marshall (afternoon)",3
